Name,Year,Selling Price,Kms Driven,Fuel,Seller Type,Transmission,Owner
Audi A8 4.2 TDI,2013,2800000,49000,Diesel,Dealer,Automatic,0
BMW X5 xDrive 30d xLine,2019,4950000,30000,Diesel,Dealer,Automatic,0
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010,280000,350000,Diesel,Individual,Manual,1
Datsun GO T BSIV,2014,280000,40000,Petrol,Individual,Manual,0
Fiat Punto EVO 1.3 Emotion,2017,450000,70000,Diesel,Individual,Manual,0
Force One EX,2014,346000,37516,Diesel,Individual,Manual,0
Ford Ikon 1.8 D,2005,114999,92645,Diesel,Dealer,Manual,0
Honda WR-V i-VTEC VX,2017,725000,29976,Petrol,Dealer,Manual,0
Hyundai Xcent 1.2 VTVT E Plus,2018,511000,70000,Petrol,Individual,Manual,0
Isuzu D-Max V-Cross Standard,2018,1500000,40000,Diesel,Individual,Manual,0
Jaguar XF 2.2 Litre Luxury,2014,1964999,28000,Diesel,Dealer,Automatic,0
Jeep Compass 2.0 Longitude Option BSIV,2017,1490000,22038,Diesel,Individual,Manual,0
Kia Seltos HTK Plus AT D,2019,1300000,10000,Diesel,Individual,Automatic,0
Land Rover Range Rover Evoque 2.2L Dynamic,2012,2349000,149000,Diesel,Individual,Automatic,1
Mahindra Xylo H8 ABS with Airbags,2018,1100000,70000,Diesel,Individual,Manual,0
Maruti 800 AC,2007,60000,70000,Petrol,Individual,Manual,0
Mercedes-Benz B Class B180 Sports,2013,1100000,40000,Petrol,Individual,Automatic,1
Mercedes-Benz S-Class S 350d Connoisseurs Edition,2017,8150000,6500,Diesel,Dealer,Automatic,0
Mitsubishi Pajero Sport 4X4,2012,1090000,120000,Diesel,Individual,Manual,1
Nissan X-Trail SLX MT,2010,600000,110000,Diesel,Individual,Manual,1
OpelCorsa 1.4 GL,2002,35000,100000,Petrol,Individual,Manual,2
OpelCorsa 1.6Gls,2004,142000,73000,Petrol,Individual,Manual,3
Renault Captur 1.5 Diesel RXT,2017,825000,13500,Diesel,Individual,Manual,0
Toyota Innova 2.5 EV Diesel MS 7 Str BSIII,2010,400000,120000,Diesel,Individual,Manual,0
Toyota Innova 2.5 EV Diesel MS 7 Str BSIII,2010,400000,120000,Diesel,Individual,Manual,0
Volkswagen Ameo 1.5 TDI Comfortline,2018,580000,70000,Diesel,Individual,Manual,0
Volkswagen Vento Petrol Highline AT,2011,269000,76259,Petrol,Dealer,Automatic,0
Volkswagen Vento Petrol Highline AT,2011,300000,70000,Petrol,Individual,Automatic,2
Volvo V40 D3 R Design,2018,1975000,21000,Diesel,Dealer,Automatic,0
Volvo XC 90 D5 Inscription BSIV,2017,4500000,80000,Diesel,Individual,Automatic,0
