Name,Year,Selling Price,Kms Driven,Fuel,Seller Type,Transmission,Owner,Engine (cc),seats
Ambassador CLASSIC 1500 DSL AC,2000,75000,90000,Diesel,Individual,Manual,1,1489,5
Audi A3 35 TDI Premium Plus,2017,2600000,70000,Diesel,Individual,Automatic,0,1968,5
Audi Q7 35 TDI Quattro Premium,2015,2650000,53000,Diesel,Dealer,Automatic,0,2967,7
BMW X1 sDrive20d,2011,1000000,50000,Diesel,Individual,Automatic,0,1995,5
BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Dealer,Automatic,0,1995,5
BMW X7 xDrive 30d DPE,2020,7200000,5000,Diesel,Individual,Automatic,0,2993,7
Chevrolet Aveo 1.4 LS,2011,130000,60000,Petrol,Individual,Manual,1,1399,5
Chevrolet Beat LS,2012,120000,60000,Petrol,Individual,Manual,2,1199,5
Chevrolet Beat LS,2013,170000,70000,Petrol,Individual,Manual,1,1199,5
Chevrolet Cruze LT,2011,300000,40000,Diesel,Individual,Manual,0,1991,5
Chevrolet Cruze LTZ,2012,495000,82000,Diesel,Individual,Manual,2,1998,5
Chevrolet Enjoy TCDi LT 7 Seater,2013,355000,136000,Diesel,Individual,Manual,1,1248,7
Chevrolet Spark 1.0 PS LPG,2007,100000,84000,LPG,Individual,Manual,2,995,5
Chevrolet Tavera B1-10 seats BSII,2010,280000,100000,Diesel,Individual,Manual,1,2499,10
Fiat Grande Punto 1.3 Emotion (Diesel),2011,254999,100000,Diesel,Individual,Manual,2,1248,5
Ford Aspire Trend Plus,2018,620000,15000,Petrol,Individual,Manual,0,1194,5
Jaguar XS,2015,125000,5000,Diesel,Dealer,Automatic,0,1999,5
Honda WR-V i-VTEC VX,2017,675000,25000,Petrol,Individual,Manual,1,1199,5
Hyundai Xcent 1.2 VTVT SX,2019,570000,15000,Petrol,Individual,Manual,0,1197,5
Hyundai Xcent 1.2 VTVT SX,2020,524000,32000,Petrol,Individual,Manual,0,1197,5
Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,2625000,9000,Diesel,Dealer,Automatic,0,1999,5
Jaguar XF 2.2 Litre Luxury,2015,3000000,70000,Diesel,Individual,Automatic,1,2179,5
Jaguar XF 3.0 Litre S Premium Luxury,2014,2000000,51000,Diesel,Individual,Automatic,0,2993,5
Jeep Wrangler 2016-2019 3.6 4X4,2017,4100000,17000,Petrol,Individual,Automatic,0,3604,5
Kia Seltos HTE D,2019,643000,10000,Diesel,Individual,Manual,0,1493,5
Land Rover Range Rover Evoque 2.2L Pure,2013,2000000,77500,Diesel,Individual,Automatic,2,2179,5
Lexus ES 300h,2019,5150000,20000,Petrol,Dealer,Automatic,0,2487,5
Mercedes-Benz S-Class S 350 CDI,2017,6000000,37000,Diesel,Dealer,Automatic,0,2987,5
Nissan Sunny XV,2012,350000,50000,Petrol,Individual,Manual,0,1498,5
Nissan Sunny S,2002,150000,88000,Petrol,Individual,Manual,1,2522,5
