Country or area,Region,Internet users,Population
Austria,Europe,7681957,8891388
Brazil,Americas,160010801,209469323
Canada,Americas,33950632,37064562
Denmark,Europe,5407278,5752126
Egypt,Africa,54740141,98423598
France,Europe,59470000,64990511
Germany,Europe,77794405,83124418
Hungary,Europe,7461297,9707499
India,Asia,833710000,1352642280
Italy,Europe,50540000,60627291
Japan,Asia,117400000,127202192
Kuwait,Asia,4053797,4137312
Laos,Asia,1749517,7061507
Mexico,Americas,92010000,128972439
New Zealand,Oceania,4273353,4743131
Oman,Asia,3717818,4829473
Pakistan,Asia,118800000,213756286
Qatar,Asia,2532059,2781682
Russia,Europe,124000000,145734038
South Korea,Asia,49421084,51171706
Spain,Europe,42400756,46692858
Sri Lanka,Asia,7121116,21228763
Sweden,Europe,9554907,9971638
Switzerland,Europe,7942864,8525611
Taiwan,Asia,21920626,23726460
Thailand,Asia,54043108,69428453
Turkey,Europe,69945905,82340088
Ukraine,Europe,31100000,44246156
United States,Americas,312320000,327096265
