Country,Avg Speed
Afghanistan,5.5
Albania,40.48
Algeria,12.44
Argentina,20.64
Australia,76.52
Austria,56.6
Azerbaijan,30.4
Bahrain,53.08
Bangladesh,10.43
Belarus,9.99
Belgium,58.65
Bolivia,14.1
Brazil,22.3
Brunei,71.38
Bulgaria,87.51
Cambodia,16.12
Cameroon,11.88
Canada,75.18
Chile,22.49
China,83.43
Colombia,12.35
Costa Rica,17.46
Croatia,86.48
Cyprus,75.48
Denmark,105.65
Ecuador,17.7
Egypt,19.73
El Salvador,21.03
Estonia,55.07
Finland,71.23
France,60.94
Germany,55.7
Ghana,8.44
Greece,59.42
Guatemala,17.3
Honduras,20.73
Hong Kong,47.34
Hungary,41.32
India,13.67
Indonesia,17.7
Iran,24.9
Iraq,39.9
Ireland,30.16
Israel,28.01
Italy,37.15
Japan,44.05
Jordan,19.47
Kazakhstan,18.71
Kenya,16.93
Kuwait,96.23
Kyrgyzstan,16.3
Laos,23.41
Latvia,41.6
Lebanon,16.38
Lithuania,50.13
Luxembourg,82.85
Macau,50.16
Malaysia,25.87
Maldives,47.93
Malta,49.66
Mexico,29.81
Montenegro,41.93
Morocco,27.84
Nepal,16.45
Netherlands,108.33
New Zealand,49.49
Nigeria,18.92
Norway,134.73
Oman,44.47
Pakistan,16.73
Panama,17.03
Paraguay,15.15
Peru,15.64
Philippines,19.48
Poland,40.14
Portugal,64.3
Qatar,120.69
Romania,36.9
Russia,20.46
Saudi Arabia,102.79
Senegal,21.44
Serbia,45.81
Singapore,67.99
Slovakia,33.44
Slovenia,54.57
Somalia,7.95
South Africa,33.62
South Korea,117.95
Spain,34.26
Sri Lanka,13.15
Sweden,73.61
Switzerland,82.29
Taiwan,53.93
Tanzania,10.39
Thailand,33.49
Tunisia,22.64
Turkey,30.48
Ukraine,15.62
United States,61.12
