Country or area,Region,Internet users,Population
Afghanistan,Asia,"4,068,194","37,171,921"
Albania,Europe,"2,105,339","2,882,740"
Algeria,Africa,"26,350,000","42,228,408"
Argentina,Americas,"33,561,876","44,361,150"
Australia,Oceania,"21,159,515","24,898,152"
Austria,Europe,"7,681,957","8,891,388"
Azerbaijan,Asia,"7,763,795","9,949,537"
Bahrain,Asia,"1,431,090","1,569,446"
Bangladesh,Asia,"129,180,000","166,303,498"
Belarus,Europe,"7,048,231","9,452,617"
Belgium,Europe,"10,021,242","11,482,178"
Bolivia,Americas,"4,843,916","11,353,142"
Brazil,Americas,"160,010,801","209,469,323"
Brunei,Asia,"406,705","428,963"
Bulgaria,Europe,"4,492,326","7,051,608"
Cambodia,Asia,"5,441,827","16,249,792"
Cameroon,Africa,"5,580,465","25,216,267"
Canada,Americas,"33,950,632","37,064,562"
Chile,Americas,"14,864,456","18,729,160"
China,Asia,"1,010,740,000","1,427,647,786"
Colombia,Americas,"30,548,252","49,661,048"
Costa Rica,Americas,"3,511,549","4,999,441"
Croatia,Europe,"2,811,056","4,156,405"
Cyprus,Asia,"952,369","1,189,265"
Denmark,Europe,"5,407,278","5,752,126"
Ecuador,Americas,"9,521,056","17,084,358"
Egypt,Africa,"54,740,141","98,423,598"
El Salvador,Americas,"1,993,079","6,420,746"
Estonia,Europe,"1,153,786","1,322,920"
Finland,Europe,"4,831,170","5,522,576"
France,Europe,"59,470,000","64,990,511"
Germany,Europe,"77,794,405","83,124,418"
Ghana,Africa,"15,065,541","29,767,102"
Greece,Europe,"7,923,438","10,522,246"
Guatemala,Americas,"11,750,000","17,247,849"
Honduras,Americas,"2,977,793","9,587,522"
"Hong Kong, China",Asia,"6,585,678","7,371,730"
Hungary,Europe,"7,461,297","9,707,499"
India,Asia,"833,710,000","1,352,642,280"
Indonesia,Asia,"196,000,000","267,670,543"
Iran,Asia,"78,086,663","81,800,188"
Iraq,Asia,"18,892,351","38,433,600"
Ireland,Europe,"4,024,552","4,818,690"
Israel,Asia,"6,788,737","8,381,516"
Italy,Europe,"50,540,000","60,627,291"
Japan,Asia,"117,400,000","127,202,192"
Jordan,Asia,"6,480,202","9,965,318"
Kazakhstan,Asia,"13,913,699","18,319,618"
Kenya,Africa,"8,861,485","51,392,565"
Kuwait,Asia,"4,053,797","4,137,312"
Kyrgyzstan,Asia,"2,309,235","6,304,030"
Laos,Asia,"1,749,517","7,061,507"
Latvia,Europe,"1,585,471","1,928,459"
Lebanon,Asia,"4,755,187","6,859,408"
Lithuania,Europe,"2,243,448","2,801,264"
Luxembourg,Europe,"570,794","604,245"
Macau,Asia,"517,789","631,636"
Malaysia,Asia,"25,343,685","31,528,033"
Maldives,Asia,"275,717","515,696"
Malta,Europe,"344,970","439,248"
Mexico,Americas,"92,010,000","128,972,439"
Montenegro,Europe,"505,055","627,809"
Morocco,Africa,"22,072,765","36,029,093"
Nepal,Asia,"16,190,000","28,095,714"
Netherlands,Europe,"15,877,494","17,059,560"
New Zealand,Oceania,"4,273,353","4,743,131"
Nigeria,Africa,"136,203,231","195,874,685"
Norway,Europe,"5,120,225","5,337,962"
Oman,Asia,"3,717,818","4,829,473"
Pakistan,Asia,"118,800,000","213,756,286"
Panama,Americas,"2,371,852","4,176,869"
Paraguay,Americas,"4,160,340","6,956,066"
Peru,Americas,"15,674,241","31,989,260"
Philippines,Asia,"73,003,313","106,651,394"
Poland,Europe,"34,697,848","37,921,592"
Portugal,Europe,"7,622,142","10,256,193"
Qatar,Asia,"2,532,059","2,781,682"
Romania,Europe,"12,545,558","19,506,114"
Russia,Europe,"124,000,000","145,734,038"
Saudi Arabia,Asia,"27,048,861","33,702,756"
Senegal,Africa,"4,698,108","15,854,323"
Serbia,Europe,"6,182,411","8,802,754"
Singapore,Asia,"4,821,119","5,757,499"
Slovakia,Europe,"4,446,926","5,453,014"
Slovenia,Europe,"1,640,893","2,077,837"
Somalia,Africa,"294,851","15,008,226"
South Africa,Africa,"31,858,027","57,792,518"
South Korea,Asia,"49,421,084","51,171,706"
Spain,Europe,"42,400,756","46,692,858"
Sri Lanka,Asia,"7,121,116","21,228,763"
Sweden,Europe,"9,554,907","9,971,638"
Switzerland,Europe,"7,942,864","8,525,611"
Taiwan,Asia,"21,920,626","23,726,460"
Tanzania,Africa,"30,000,000","56,313,438"
Thailand,Asia,"54,043,108","69,428,453"
Tunisia,Africa,"6,400,330","11,565,201"
Turkey,Europe,"69,945,905","82,340,088"
Ukraine,Europe,"31,100,000","44,246,156"
United States,Americas,"312,320,000","327,096,265"
