Pos,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
257,7 Days to Die,2016,Action,Telltale Games,0.09,0.02,0,0.01,0.12
305,Adventure Time: Finn & Jake Investigations,2015,Action,Little Orbit,0.04,0.02,0,0.01,0.06
222,Angry Birds: Star Wars,2013,Puzzle,Activision,0.11,0.04,0,0.02,0.16
412,Assassin's Creed Chronicles,2016,Action,Ubisoft,0,0.01,0,0,0.01
277,Attack on Titan 2,2018,Action,Koei Tecmo,0.08,0,0,0.01,0.09
422,ATV Renegades,2017,Racing,Nighthawk Interactive,0,0,0,0,0.01
295,Batman: A Telltale Game Series,2016,Adventure,Telltale Games,0.06,0.01,0,0.01,0.07
7,Battlefield 1,2016,Shooter,Electronic Arts,3.37,1.26,0.02,0.48,5.13
364,Black Mirror,2017,Adventure,THQ Nordic,0.03,0,0,0,0.03
6,Call of Duty: Advanced Warfare,2014,Shooter,Activision,3.25,1.49,0.01,0.48,5.22
2,Call of Duty: Black Ops 3,2015,Shooter,Activision,4.63,2.04,0.02,0.68,7.37
3,Call of Duty: WWII,2017,Shooter,Activision,3.75,1.91,0,0.57,6.23
335,Cars 3: Driven to Win,2017,Racing,Warner Bros. Interactive Entertainment,0.04,0,0,0.01,0.05
514,Costume Quest 2,2017,Role-Playing,Activision,0,0,0,0,0
87,Dark Souls III,2016,Role-Playing,Namco Bandai Games,0.56,0.15,0,0.08,0.79
268,Dead or Alive 5,2015,Fighting,Tecmo Koei,0.05,0.03,0.01,0.01,0.1
192,Deadpool,2015,Action,Activision,0.17,0.03,0,0.02,0.22
31,Destiny 2,2017,Shooter,Activision,1.66,0.47,0,0.23,2.35
72,Diablo III,2014,Role-Playing,Blizzard Entertainment,0.62,0.32,0,0.09,1.04
20,FIFA 18,2017,Sports,EA Sports,0.98,1.92,0,0.23,3.14
70,Final Fantasy XV,2016,Role-Playing,Square Enix,0.72,0.3,0.01,0.11,1.14
1,Grand Theft Auto V,2014,Action,Rockstar Games,4.7,3.25,0.01,0.76,8.72
86,Guitar Hero Live,2015,Music,Activision,0.52,0.23,0,0.08,0.83
79,Injustice 2,2017,Fighting,Warner Bros. Interactive Entertainment,0.65,0.16,0,0.09,0.89
5,MineCraft,2014,Misc,Microsoft Studios,3.23,1.71,0,0.49,5.43
102,Plants vs Zombies: Garden Warfare,2014,Shooter,Electronic Arts,0.39,0.25,0,0.06,0.71
333,Resident Evil 4,2016,Action-Adventure,Capcom,0.04,0,0,0.01,0.05
118,Tekken 7,2017,Fighting,Namco Bandai Games,0.3,0.23,0,0.05,0.58
212,XCOM 2,2016,Strategy,2K Games,0.15,0.02,0,0.02,0.19
272,Yooka-Laylee,2017,Platform,Sold Out,0.05,0.04,0,0.01,0.1
